Time (msec),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Additive Adaptation - Bank 1 (ms),* Battery voltage (V),* Coolant Temperature (°C),* Engine Load (mg/stroke),* Electric fan (%),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Intake Air Temperature (°C),* Oil Temperature (°C),* Vehicle Speed (km/h)
17160,7.07,8.15,0.00,0.00,0.00,0.00,13.5,102.0,71.20,0,975,2.040,54.8,107.2,17
17320,7.43,8.51,0.00,0.00,0.00,0.00,13.6,102.0,72.24,0,961,2.096,54.8,107.2,17
17482,7.78,8.86,0.00,0.00,0.00,0.00,13.5,102.0,73.85,0,940,2.112,54.8,107.2,17
17680,8.15,9.23,0.00,0.00,0.00,0.00,13.5,102.0,74.10,0,937,2.196,54.8,107.2,15
17882,8.51,9.59,0.00,0.00,0.00,0.00,13.5,102.0,75.97,0,914,2.216,54.8,107.2,15
18082,8.88,9.96,0.00,0.00,0.00,0.00,13.5,102.0,75.71,0,917,2.268,55.5,107.2,15
18280,9.25,10.32,0.00,0.00,0.00,0.00,13.5,102.0,76.45,0,908,2.320,55.5,107.2,15
18441,9.54,10.62,0.00,0.00,0.00,0.00,13.6,102.0,75.97,0,914,2.332,55.5,107.2,15
18642,9.91,10.98,0.00,0.00,0.00,0.00,13.5,102.0,77.13,0,900,2.380,55.5,107.2,14
18840,10.27,11.35,0.00,0.00,0.00,0.00,13.6,102.0,77.56,0,913,2.388,55.5,107.2,14
19000,10.56,11.64,0.00,0.00,0.00,0.00,13.4,102.0,76.28,0,910,2.396,55.5,107.2,14
19162,10.86,11.94,0.00,0.00,0.00,0.00,13.4,102.0,75.52,0,901,2.352,55.5,107.2,14
19362,11.22,12.30,0.00,0.00,0.00,0.00,13.5,102.0,74.14,0,899,2.360,55.5,107.2,14
